Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sales_Tax,Total_Amount
FDZ57,10.0,Regular,0.037977917,Snack Foods,128.6994,OUT017,2007,Medium,Tier 2,Supermarket Type1,642.497,32.12485,674.62185
FDH34,8.63,Low Fat,0.031143591,Snack Foods,183.9582,OUT049,1999,Medium,Tier 1,Supermarket Type1,5386.9878,269.34939,5656.33719
FDF35,15.0,Low Fat,0.154860353,Starchy Foods,106.1938,OUT017,2007,Medium,Tier 2,Supermarket Type1,4073.3644,203.66822000000002,4277.03262
FDR20,20.0,Regular,0.028238317,Fruits and Vegetables,46.3744,OUT018,2009,Medium,Tier 3,Supermarket Type2,181.0976,9.05488,190.15248
FDX56,12.857645184135976,Regular,0.073700837,Fruits and Vegetables,207.1638,OUT027,1985,Medium,Tier 3,Supermarket Type3,7247.233,362.36165000000005,7609.59465
FDR40,9.1,Regular,0.008027701,Frozen Foods,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,2255.7304,112.78652,2368.51692
NCE30,16.0,Low Fat,0.099290166,Household,214.0902,OUT049,1999,Medium,Tier 1,Supermarket Type1,1486.7314,74.33657,1561.0679699999998
DRI37,15.85,Low Fat,0.180096791,Soft Drinks,57.3904,OUT010,1998,Medium,Tier 3,Grocery Store,117.1808,5.85904,123.03984
FDW48,12.857645184135976,Low Fat,0.008499464,Baking Goods,81.3618,OUT027,1985,Medium,Tier 3,Supermarket Type3,1530.6742,76.53371,1607.2079099999999
NCC18,19.1,Low Fat,0.177629525,Household,173.9422,OUT045,2002,Medium,Tier 2,Supermarket Type1,2414.1908,120.70954,2534.9003399999997
FDH02,7.27,Regular,0.020865797,Canned,90.2488,OUT018,2009,Medium,Tier 3,Supermarket Type2,814.9392,40.74696,855.68616
NCZ30,6.59,Low Fat,0.026180032,Household,120.7098,OUT035,2004,Small,Tier 2,Supermarket Type1,2530.7058,126.53529000000002,2657.24109
FDI45,13.1,Low Fat,0.037734334,Fruits and Vegetables,173.9054,OUT018,2009,Medium,Tier 3,Supermarket Type2,3677.2134,183.86067000000003,3861.07407
FDK41,14.3,Low Fat,0.127435585,Frozen Foods,86.8224,OUT013,1987,High,Tier 3,Supermarket Type1,852.224,42.611200000000004,894.8352000000001
FDQ07,15.1,Regular,0.087762922,Fruits and Vegetables,221.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,2873.5928,143.67964,3017.2724399999997
NCE06,5.825,Low Fat,0.153127523,Household,162.4894,OUT010,1998,Medium,Tier 3,Grocery Store,323.5788,16.17894,339.75774
FDF11,10.195,Regular,0.017703044,Starchy Foods,239.4538,OUT018,2009,Medium,Tier 3,Supermarket Type2,3605.307,180.26535,3785.57235
FDU51,20.2,Regular,0.096433359,Meat,178.5028,OUT013,1987,High,Tier 3,Supermarket Type1,4604.6728,230.23364000000004,4834.906440000001
NCH06,12.3,Low Fat,0.128136346,Household,248.346,OUT010,1998,Medium,Tier 3,Grocery Store,985.384,49.269200000000005,1034.6532
FDD38,16.75,Regular,0.008184912,Canned,101.2674,OUT013,1987,High,Tier 3,Supermarket Type1,1528.011,76.40055,1604.41155
FDU07,11.1,Low Fat,0.059846975,Fruits and Vegetables,150.1366,OUT046,1997,Small,Tier 1,Supermarket Type1,1813.6392,90.68196,1904.32116
FDK08,9.195,Regular,0.122494876,Fruits and Vegetables,100.1016,OUT049,1999,Medium,Tier 1,Supermarket Type1,1416.8224,70.84112,1487.66352
FDW15,12.857645184135976,Regular,0.054846706,Meat,147.3734,OUT027,1985,Medium,Tier 3,Supermarket Type3,3266.4148,163.32074,3429.73554
FDE21,12.8,Low Fat,0.022980361,Fruits and Vegetables,117.7492,OUT049,1999,Medium,Tier 1,Supermarket Type1,1274.3412,63.717060000000004,1338.05826
FDX28,6.325,Low Fat,0.125154452,Frozen Foods,99.2042,OUT035,2004,Small,Tier 2,Supermarket Type1,1388.8588,69.44294000000001,1458.3017399999999
NCR50,12.857645184135976,Low Fat,0.011762847,Household,153.534,OUT027,1985,Medium,Tier 3,Supermarket Type3,7503.566,375.17830000000004,7878.7443
FDL27,6.17,Low Fat,0.010674255,Meat,63.4826,OUT018,2009,Medium,Tier 3,Supermarket Type2,774.9912,38.74956,813.74076
FDK14,6.98,Low Fat,0.041098016,Canned,81.6934,OUT035,2004,Small,Tier 2,Supermarket Type1,818.934,40.9467,859.8806999999999
NCB07,12.857645184135976,Low Fat,0.077132215,Household,197.411,OUT027,1985,Medium,Tier 3,Supermarket Type3,5892.33,294.61650000000003,6186.9465
NCR53,12.15,Low Fat,0.145013434,Health and Hygiene,225.0404,OUT035,2004,Small,Tier 2,Supermarket Type1,4950.8888,247.54444,5198.433239999999
FDB60,9.3,Low Fat,0.028683422,Baking Goods,195.8136,OUT017,2007,Medium,Tier 2,Supermarket Type1,3693.8584,184.69292000000002,3878.55132
FDW48,18.0,Low Fat,0.008554102,Baking Goods,79.3618,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.618,40.2809,845.8989
FDR55,12.15,Regular,0.132058566,Fruits and Vegetables,187.5872,OUT035,2004,Small,Tier 2,Supermarket Type1,4349.0056,217.45028000000002,4566.45588
FDO22,13.5,Regular,0.017895691,Snack Foods,79.496,OUT045,2002,Medium,Tier 2,Supermarket Type1,1597.92,79.89600000000002,1677.816
FDL48,19.35,Regular,0.082731751,Baking Goods,49.2034,OUT017,2007,Medium,Tier 2,Supermarket Type1,777.6544,38.882720000000006,816.53712
NCZ05,8.485,Low Fat,0.058083831,Health and Hygiene,103.199,OUT013,1987,High,Tier 3,Supermarket Type1,722.393,36.11965,758.51265
FDO25,6.3,Low Fat,0.127449031,Canned,210.527,OUT046,1997,Small,Tier 1,Supermarket Type1,6291.81,314.5905,6606.400500000001
FDF47,20.85,Low Fat,0.097536998,Starchy Foods,225.3746,OUT013,1987,High,Tier 3,Supermarket Type1,3365.619,168.28095000000002,3533.89995
FDY40,15.5,Regular,0.143670179,Frozen Foods,48.4692,OUT010,1998,Medium,Tier 3,Grocery Store,49.2692,2.46346,51.732659999999996
FDR25,17.0,Regular,0.139804885,Canned,265.7884,OUT045,2002,Medium,Tier 2,Supermarket Type1,3974.826,198.74130000000002,4173.5673
FDD59,12.857645184135976,Regular,0.065860323,Starchy Foods,81.896,OUT027,1985,Medium,Tier 3,Supermarket Type3,1677.816,83.89080000000001,1761.7068
FDX38,10.5,Regular,0.0481669,Dairy,48.8376,OUT013,1987,High,Tier 3,Supermarket Type1,671.1264,33.55632,704.68272
FDE26,9.3,Low Fat,0.089005769,Canned,143.9786,OUT046,1997,Small,Tier 1,Supermarket Type1,2745.0934,137.25467,2882.34807
FDH48,12.857645184135976,Low Fat,0.105893301,Baking Goods,86.254,OUT019,1985,Small,Tier 1,Grocery Store,519.324,25.9662,545.2901999999999
NCK29,5.615,Low Fat,0.12566436,Health and Hygiene,123.473,OUT013,1987,High,Tier 3,Supermarket Type1,1231.73,61.5865,1293.3165
NCF54,18.0,Low Fat,0.047377053,Household,171.1422,OUT046,1997,Small,Tier 1,Supermarket Type1,2931.5174,146.57587,3078.0932700000003
FDI38,13.35,Regular,0.06613202877895108,Canned,206.9638,OUT017,2007,Medium,Tier 2,Supermarket Type1,7247.233,362.36165000000005,7609.59465
FDJ07,12.857645184135976,Low Fat,0.014353676,Meat,115.515,OUT027,1985,Medium,Tier 3,Supermarket Type3,1631.21,81.5605,1712.7705
FDS55,7.02,Low Fat,0.06613202877895108,Fruits and Vegetables,148.1734,OUT018,2009,Medium,Tier 3,Supermarket Type2,890.8404,44.54202000000001,935.38242
NCX53,20.1,Low Fat,0.025002878,Health and Hygiene,140.4154,OUT010,1998,Medium,Tier 3,Grocery Store,567.2616,28.363080000000004,595.62468
NCP55,14.65,Low Fat,0.06613202877895108,Others,53.8614,OUT035,2004,Small,Tier 2,Supermarket Type1,1105.228,55.26140000000001,1160.4894000000002
FDV04,7.825,Regular,0.150015234,Frozen Foods,157.5288,OUT046,1997,Small,Tier 1,Supermarket Type1,942.7728,47.13864,989.91144
FDV40,17.35,Low Fat,0.014691784,Frozen Foods,74.1038,OUT046,1997,Small,Tier 1,Supermarket Type1,960.7494,48.037470000000006,1008.78687
NCN30,16.35,Low Fat,0.017062427,Household,98.141,OUT018,2009,Medium,Tier 3,Supermarket Type2,1544.656,77.2328,1621.8888
FDT57,15.2,Low Fat,0.019142452,Snack Foods,237.5248,OUT017,2007,Medium,Tier 2,Supermarket Type1,3318.3472,165.91736000000003,3484.26456
FDI52,18.7,Low Fat,0.104890428,Frozen Foods,121.4072,OUT045,2002,Medium,Tier 2,Supermarket Type1,3185.1872,159.25936000000002,3344.44656
FDT57,15.2,Low Fat,0.019018943,Snack Foods,238.7248,OUT013,1987,High,Tier 3,Supermarket Type1,1659.1736,82.95868000000002,1742.13228
FDK33,17.85,Low Fat,0.011233126,Snack Foods,211.556,OUT035,2004,Small,Tier 2,Supermarket Type1,5752.512,287.6256,6040.1376
FDQ39,14.8,Low Fat,0.081026811,Meat,190.0846,OUT035,2004,Small,Tier 2,Supermarket Type1,4586.0304,229.30151999999998,4815.33192
FDR23,15.85,Low Fat,0.081953387,Breads,176.237,OUT045,2002,Medium,Tier 2,Supermarket Type1,2646.555,132.32775,2778.8827499999998
FDX47,12.857645184135976,Regular,0.060587738,Breads,156.8288,OUT019,1985,Small,Tier 1,Grocery Store,471.3864,23.56932,494.95572
DRP35,18.85,Low Fat,0.090850115,Hard Drinks,126.6336,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5024,57.52512000000001,1208.02752
FDU26,16.7,Regular,0.071335395,Dairy,120.3782,OUT010,1998,Medium,Tier 3,Grocery Store,119.1782,5.95891,125.13711
FDR39,20.35,Low Fat,0.083929569,Meat,182.4292,OUT049,1999,Medium,Tier 1,Supermarket Type1,4925.5884,246.27942,5171.8678199999995
FDV48,9.195,Regular,0.086396038,Baking Goods,79.0644,OUT010,1998,Medium,Tier 3,Grocery Store,157.1288,7.856440000000001,164.98524
NCG18,15.3,Low Fat,0.023071504,Household,101.8332,OUT018,2009,Medium,Tier 3,Supermarket Type2,1025.332,51.26660000000001,1076.5986
NCD42,16.5,Low Fat,0.012627329,Health and Hygiene,38.7506,OUT013,1987,High,Tier 3,Supermarket Type1,759.012,37.9506,796.9626
FDP59,20.85,Regular,0.094512029,Breads,104.5648,OUT010,1998,Medium,Tier 3,Grocery Store,207.7296,10.38648,218.11608
FDF34,12.857645184135976,Regular,0.013951504,Snack Foods,199.9084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5753.8436,287.69218,6041.53578
DRD15,10.6,Low Fat,0.056785183,Dairy,231.9642,OUT035,2004,Small,Tier 2,Supermarket Type1,2091.2778,104.56389,2195.8416899999997
FDP03,5.15,Regular,0.06117708,Meat,121.8388,OUT046,1997,Small,Tier 1,Supermarket Type1,3219.8088,160.99044,3380.79924
FDO20,12.85,Regular,0.152099033,Fruits and Vegetables,252.6382,OUT035,2004,Small,Tier 2,Supermarket Type1,3532.7348,176.63674000000003,3709.37154
NCY30,20.25,Low Fat,0.02594835,Household,180.0976,OUT035,2004,Small,Tier 2,Supermarket Type1,3440.8544,172.04272000000003,3612.89712
DRH37,17.6,Low Fat,0.041581725,Soft Drinks,163.3526,OUT013,1987,High,Tier 3,Supermarket Type1,3453.5046,172.67523000000003,3626.17983
FDT10,16.7,Regular,0.103849783,Snack Foods,58.8562,OUT010,1998,Medium,Tier 3,Grocery Store,59.2562,2.96281,62.21901
FDF35,15.0,Low Fat,0.154301621,Starchy Foods,105.9938,OUT045,2002,Medium,Tier 2,Supermarket Type1,428.7752,21.438760000000002,450.21396
FDG10,6.63,Regular,0.010937229,Snack Foods,55.8588,OUT035,2004,Small,Tier 2,Supermarket Type1,801.6232,40.081160000000004,841.70436
FDK03,12.857645184135976,Regular,0.073562475,Dairy,254.9356,OUT027,1985,Medium,Tier 3,Supermarket Type3,8138.7392,406.93696,8545.676159999999
FDG20,15.5,Regular,0.125687917,Fruits and Vegetables,178.2028,OUT046,1997,Small,Tier 1,Supermarket Type1,1416.8224,70.84112,1487.66352
NCL07,12.857645184135976,Low Fat,0.0311868,Others,39.548,OUT027,1985,Medium,Tier 3,Supermarket Type3,759.012,37.9506,796.9626
DRD49,9.895,Low Fat,0.167831064,Soft Drinks,237.4564,OUT046,1997,Small,Tier 1,Supermarket Type1,715.0692,35.753460000000004,750.82266
NCG55,16.25,Low Fat,0.06613202877895108,Household,115.2176,OUT017,2007,Medium,Tier 2,Supermarket Type1,3206.4928,160.32464000000002,3366.81744
FDR19,13.5,Regular,0.160624116,Fruits and Vegetables,147.0102,OUT017,2007,Medium,Tier 2,Supermarket Type1,2770.3938,138.51969,2908.91349
NCM54,17.7,Low Fat,0.050929429,Household,129.1678,OUT035,2004,Small,Tier 2,Supermarket Type1,1780.3492,89.01746000000001,1869.3666600000001
FDZ44,12.857645184135976,Low Fat,0.06780958,Fruits and Vegetables,118.1808,OUT019,1985,Small,Tier 1,Grocery Store,234.3616,11.71808,246.07968
FDR28,13.85,Regular,0.026042966,Frozen Foods,161.221,OUT017,2007,Medium,Tier 2,Supermarket Type1,1794.331,89.71655,1884.04755
FDB51,6.92,Low Fat,0.038610722,Dairy,61.4852,OUT018,2009,Medium,Tier 3,Supermarket Type2,1314.2892,65.71446,1380.0036599999999
DRJ59,11.65,Low Fat,0.019372253,Hard Drinks,40.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,308.9312,15.44656,324.37775999999997
FDZ43,11.0,Regular,0.057290978,Fruits and Vegetables,242.7512,OUT018,2009,Medium,Tier 3,Supermarket Type2,1938.8096,96.94048000000001,2035.75008
NCC54,17.75,Low Fat,0.097909084,Health and Hygiene,242.1196,OUT045,2002,Medium,Tier 2,Supermarket Type1,4097.3332,204.86666000000002,4302.19986
FDQ11,5.695,Regular,0.067688124,Breads,258.8988,OUT035,2004,Small,Tier 2,Supermarket Type1,5396.9748,269.84874,5666.82354
DRH03,17.25,Low Fat,0.035207155,Dairy,93.512,OUT018,2009,Medium,Tier 3,Supermarket Type2,1491.392,74.56960000000001,1565.9616
FDX38,10.5,Regular,0.080688663,Dairy,46.7376,OUT010,1998,Medium,Tier 3,Grocery Store,47.9376,2.3968800000000003,50.334480000000006
DRH36,16.2,Low Fat,0.033447756,Soft Drinks,73.9696,OUT045,2002,Medium,Tier 2,Supermarket Type1,894.8352,44.74176,939.57696
NCB06,17.6,Low Fat,0.082797778,Health and Hygiene,161.492,OUT017,2007,Medium,Tier 2,Supermarket Type1,3515.424,175.77120000000002,3691.1952
FDR33,7.31,Low Fat,0.026940466,Snack Foods,108.457,OUT017,2007,Medium,Tier 2,Supermarket Type1,2306.997,115.34985,2422.34685
FDE47,14.15,Low Fat,0.037877202,Starchy Foods,124.0046,OUT013,1987,High,Tier 3,Supermarket Type1,1618.5598,80.92799000000001,1699.48779
FDA10,12.857645184135976,Low Fat,0.141129263,Snack Foods,121.6072,OUT027,1985,Medium,Tier 3,Supermarket Type3,3430.2016,171.51008000000002,3601.71168
DRI01,7.97,Low Fat,0.034424278,Soft Drinks,171.8422,OUT013,1987,High,Tier 3,Supermarket Type1,2069.3064,103.46532,2172.7717199999997
NCJ54,9.895,Low Fat,0.060067115,Household,230.6642,OUT046,1997,Small,Tier 1,Supermarket Type1,4647.284,232.36419999999998,4879.6482
FDT14,10.695,Regular,0.127727102,Dairy,121.144,OUT046,1997,Small,Tier 1,Supermarket Type1,1917.504,95.8752,2013.3791999999999
DRL49,13.15,Low Fat,0.05674821,Soft Drinks,144.3812,OUT017,2007,Medium,Tier 2,Supermarket Type1,284.9624,14.24812,299.21052
NCI18,18.35,Low Fat,0.014052469,Household,224.0746,OUT045,2002,Medium,Tier 2,Supermarket Type1,1346.2476,67.31238,1413.55998
FDC38,15.7,Low Fat,0.122684413,Canned,132.2942,OUT049,1999,Medium,Tier 1,Supermarket Type1,2252.4014,112.62007000000001,2365.02147
FDS56,5.785,Regular,0.038724612,Fruits and Vegetables,263.9252,OUT013,1987,High,Tier 3,Supermarket Type1,6033.4796,301.67398,6335.153579999999
FDX19,19.1,Low Fat,0.09688421,Fruits and Vegetables,233.5958,OUT049,1999,Medium,Tier 1,Supermarket Type1,2336.958,116.84790000000001,2453.8059000000003
FDU36,12.857645184135976,Low Fat,0.06613202877895108,Baking Goods,100.1384,OUT027,1985,Medium,Tier 3,Supermarket Type3,2956.152,147.8076,3103.9596
FDO44,12.6,Low Fat,0.087380432,Fruits and Vegetables,109.7228,OUT013,1987,High,Tier 3,Supermarket Type1,1547.3192,77.36596,1624.68516
FDG57,14.7,Low Fat,0.072707309,Fruits and Vegetables,49.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,291.6204,14.581020000000002,306.20142000000004
FDV20,20.2,Regular,0.059894378,Fruits and Vegetables,125.9678,OUT049,1999,Medium,Tier 1,Supermarket Type1,2797.6916,139.88458,2937.57618
FDE47,14.15,Low Fat,0.037901581,Starchy Foods,126.3046,OUT035,2004,Small,Tier 2,Supermarket Type1,2614.5966,130.72983,2745.32643
FDU32,12.857645184135976,Low Fat,0.025841875,Fruits and Vegetables,120.7414,OUT027,1985,Medium,Tier 3,Supermarket Type3,4386.2904,219.31452000000002,4605.60492
NCB06,12.857645184135976,Low Fat,0.081933378,Health and Hygiene,161.492,OUT027,1985,Medium,Tier 3,Supermarket Type3,6391.68,319.58400000000006,6711.264
FDV46,18.2,Low Fat,0.012627478,Snack Foods,140.818,OUT049,1999,Medium,Tier 1,Supermarket Type1,3495.45,174.7725,3670.2225
FDP45,12.857645184135976,Regular,0.030476541,Snack Foods,252.2724,OUT027,1985,Medium,Tier 3,Supermarket Type3,5033.448,251.67240000000004,5285.120400000001
FDK03,12.6,Regular,0.074070351,Dairy,254.2356,OUT045,2002,Medium,Tier 2,Supermarket Type1,4578.0408,228.90204,4806.94284
FDX37,16.2,Low Fat,0.063017421,Canned,100.37,OUT035,2004,Small,Tier 2,Supermarket Type1,998.7,49.935,1048.635
FDX58,13.15,Low Fat,0.043727261,Snack Foods,182.595,OUT013,1987,High,Tier 3,Supermarket Type1,3478.805,173.94025,3652.74525
FDQ46,7.51,Low Fat,0.104023565,Snack Foods,112.4544,OUT045,2002,Medium,Tier 2,Supermarket Type1,2013.3792,100.66896000000001,2114.0481600000003
FDL13,13.85,Regular,0.056271701,Breakfast,232.23,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18,69.909,1468.0890000000002
NCT30,9.1,Low Fat,0.080619969,Household,47.4718,OUT018,2009,Medium,Tier 3,Supermarket Type2,472.718,23.635900000000003,496.3539
FDP20,19.85,Low Fat,0.045761855,Fruits and Vegetables,125.602,OUT045,2002,Medium,Tier 2,Supermarket Type1,632.51,31.625500000000002,664.1355
FDH40,11.6,Regular,0.078863888,Frozen Foods,83.2276,OUT013,1987,High,Tier 3,Supermarket Type1,1543.3244,77.16622000000001,1620.49062
FDZ25,15.7,Regular,0.027729547,Canned,169.379,OUT018,2009,Medium,Tier 3,Supermarket Type2,1528.011,76.40055,1604.41155
FDU27,12.857645184135976,Regular,0.170646494,Meat,46.3376,OUT027,1985,Medium,Tier 3,Supermarket Type3,2109.2544,105.46271999999999,2214.71712
NCQ42,20.35,Low Fat,0.039235527,Household,127.2678,OUT013,1987,High,Tier 3,Supermarket Type1,1017.3424,50.86712,1068.2095199999999
FDU31,10.5,Regular,0.02502991,Fruits and Vegetables,218.4508,OUT049,1999,Medium,Tier 1,Supermarket Type1,2821.6604,141.08302,2962.7434200000002
FDC35,7.435,Low Fat,0.205605116,Starchy Foods,207.7638,OUT010,1998,Medium,Tier 3,Grocery Store,621.1914,31.059570000000004,652.25097
FDX43,5.655,Low Fat,0.085622362,Fruits and Vegetables,167.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,2330.3,116.51500000000001,2446.815
FDU07,11.1,Low Fat,0.059968347,Fruits and Vegetables,152.8366,OUT045,2002,Medium,Tier 2,Supermarket Type1,1662.5026,83.12513000000001,1745.6277300000002
DRD13,15.0,Low Fat,0.049038621,Soft Drinks,65.4168,OUT013,1987,High,Tier 3,Supermarket Type1,1661.8368,83.09184,1744.92864
DRK49,14.15,Low Fat,0.036147029,Soft Drinks,39.3138,OUT017,2007,Medium,Tier 2,Supermarket Type1,527.9794,26.398970000000006,554.37837
FDL12,12.857645184135976,Regular,0.212963193,Baking Goods,59.522,OUT019,1985,Small,Tier 1,Grocery Store,299.61,14.980500000000001,314.5905
FDZ08,12.5,Regular,0.110614538,Fruits and Vegetables,80.6592,OUT017,2007,Medium,Tier 2,Supermarket Type1,1651.184,82.5592,1733.7432
FDA10,20.35,Low Fat,0.142393712,Snack Foods,122.7072,OUT018,2009,Medium,Tier 3,Supermarket Type2,1470.0864,73.50431999999999,1543.59072
FDS20,8.85,Low Fat,0.053976156,Fruits and Vegetables,181.5292,OUT045,2002,Medium,Tier 2,Supermarket Type1,1277.0044,63.85022000000001,1340.85462
FDA07,7.55,Regular,0.03107068,Fruits and Vegetables,122.4072,OUT018,2009,Medium,Tier 3,Supermarket Type2,857.5504,42.877520000000004,900.42792
FDR08,18.7,Low Fat,0.03761584,Fruits and Vegetables,109.1886,OUT035,2004,Small,Tier 2,Supermarket Type1,1890.2062,94.51031,1984.7165100000002
FDM44,12.857645184135976,Low Fat,0.054363971,Fruits and Vegetables,105.099,OUT019,1985,Small,Tier 1,Grocery Store,103.199,5.15995,108.35895
FDI22,12.6,Low Fat,0.161039887,Snack Foods,210.2612,OUT010,1998,Medium,Tier 3,Grocery Store,418.1224,20.90612,439.02852
NCM07,9.395,Low Fat,0.040023967,Others,85.5908,OUT049,1999,Medium,Tier 1,Supermarket Type1,1006.6896,50.334480000000006,1057.0240800000001
FDN46,7.21,Regular,0.06613202877895108,Snack Foods,103.1332,OUT017,2007,Medium,Tier 2,Supermarket Type1,3281.0624,164.05312,3445.11552
NCW53,18.35,Low Fat,0.030619301,Health and Hygiene,194.0162,OUT018,2009,Medium,Tier 3,Supermarket Type2,2886.243,144.31215,3030.55515
FDZ51,11.3,Regular,0.054637635,Meat,93.3094,OUT049,1999,Medium,Tier 1,Supermarket Type1,3046.7008,152.33504000000002,3199.03584
FDT04,17.25,Low Fat,0.06613202877895108,Frozen Foods,40.8822,OUT018,2009,Medium,Tier 3,Supermarket Type2,628.5152,31.425760000000004,659.94096
FDZ48,12.857645184135976,Low Fat,0.132995494,Baking Goods,113.5544,OUT019,1985,Small,Tier 1,Grocery Store,223.7088,11.18544,234.89424
FDA08,11.85,Regular,0.050085152,Fruits and Vegetables,164.7526,OUT046,1997,Small,Tier 1,Supermarket Type1,1315.6208,65.78104,1381.40184
DRN37,9.6,Low Fat,0.096689673,Soft Drinks,168.0158,OUT018,2009,Medium,Tier 3,Supermarket Type2,1336.9264,66.84632,1403.7727200000002
FDD35,12.15,Low Fat,0.026010729,Starchy Foods,119.144,OUT017,2007,Medium,Tier 2,Supermarket Type1,2157.192,107.8596,2265.0516
FDZ48,17.75,Low Fat,0.075959623,Baking Goods,112.4544,OUT046,1997,Small,Tier 1,Supermarket Type1,2460.7968,123.03984000000001,2583.83664
NCN54,20.35,Low Fat,0.021413346,Household,76.2328,OUT018,2009,Medium,Tier 3,Supermarket Type2,463.3968,23.16984,486.56664
FDU32,8.785,Low Fat,0.06613202877895108,Fruits and Vegetables,120.5414,OUT013,1987,High,Tier 3,Supermarket Type1,1583.9382,79.19691,1663.1351100000002
FDK41,12.857645184135976,Low Fat,0.126924095,Frozen Foods,87.2224,OUT027,1985,Medium,Tier 3,Supermarket Type3,3494.1184,174.70592,3668.8243199999997
FDR44,6.11,Regular,0.103340142,Fruits and Vegetables,131.2968,OUT018,2009,Medium,Tier 3,Supermarket Type2,913.4776,45.673880000000004,959.1514800000001
NCK29,12.857645184135976,Low Fat,0.06613202877895108,Health and Hygiene,125.173,OUT027,1985,Medium,Tier 3,Supermarket Type3,3572.017,178.60085,3750.6178499999996
FDT09,15.15,Regular,0.012288171,Snack Foods,129.9284,OUT045,2002,Medium,Tier 2,Supermarket Type1,2241.0828,112.05414000000002,2353.1369400000003
FDR11,10.5,Regular,0.142827296,Breads,159.4578,OUT045,2002,Medium,Tier 2,Supermarket Type1,3048.6982,152.43491,3201.1331099999998
FDD57,12.857645184135976,Low Fat,0.022291121,Fruits and Vegetables,93.6094,OUT027,1985,Medium,Tier 3,Supermarket Type3,3713.1666,185.65833,3898.82493
FDT10,16.7,Regular,0.061992874,Snack Foods,60.9562,OUT013,1987,High,Tier 3,Supermarket Type1,355.5372,17.77686,373.31406
FDR51,9.035,Regular,0.17417636,Meat,148.9708,OUT018,2009,Medium,Tier 3,Supermarket Type2,2257.062,112.8531,2369.9150999999997
NCK17,11.0,Low Fat,0.037953762,Health and Hygiene,38.448,OUT049,1999,Medium,Tier 1,Supermarket Type1,1198.44,59.922000000000004,1258.362
FDY07,11.8,Low Fat,0.122289654,Fruits and Vegetables,46.3402,OUT017,2007,Medium,Tier 2,Supermarket Type1,275.6412,13.782060000000001,289.42326
FDT14,10.695,Regular,0.128247408,Dairy,121.844,OUT018,2009,Medium,Tier 3,Supermarket Type2,2277.036,113.85180000000001,2390.8878
FDJ21,12.857645184135976,Regular,0.038341654,Snack Foods,146.2102,OUT027,1985,Medium,Tier 3,Supermarket Type3,4228.4958,211.42479,4439.92059
NCR42,9.105,Low Fat,0.038699553,Household,33.79,OUT017,2007,Medium,Tier 2,Supermarket Type1,199.74,9.987000000000002,209.727
DRG37,16.2,Low Fat,0.01940856,Soft Drinks,156.7972,OUT049,1999,Medium,Tier 1,Supermarket Type1,3739.1328,186.95664,3926.0894399999997
FDI24,12.857645184135976,Low Fat,0.137870237,Baking Goods,175.037,OUT019,1985,Small,Tier 1,Grocery Store,352.874,17.643700000000003,370.51770000000005
FDJ22,18.75,Low Fat,0.052800258,Snack Foods,193.2504,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.5056,134.22528,2818.73088
FDT28,13.3,Low Fat,0.06355415,Frozen Foods,149.4708,OUT035,2004,Small,Tier 2,Supermarket Type1,1354.2372,67.71186,1421.94906
FDH38,6.425,Low Fat,0.01043823,Canned,115.8808,OUT046,1997,Small,Tier 1,Supermarket Type1,1757.712,87.88560000000001,1845.5976
FDT43,16.35,Low Fat,0.020589623,Fruits and Vegetables,53.2324,OUT045,2002,Medium,Tier 2,Supermarket Type1,727.0536,36.35268,763.4062799999999
FDX04,19.6,Regular,0.041806702,Frozen Foods,48.8376,OUT017,2007,Medium,Tier 2,Supermarket Type1,527.3136,26.365679999999998,553.67928
FDV46,18.2,Low Fat,0.012679191,Snack Foods,139.818,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908,41.94540000000001,880.8534
FDP10,19.0,Low Fat,0.128289285,Snack Foods,104.9622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1164.4842,58.22421000000001,1222.7084100000002
NCA53,11.395,Low Fat,0.009878459,Health and Hygiene,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1312.2918,65.61459,1377.9063899999999
FDL52,6.635,Regular,0.046090204,Frozen Foods,37.1506,OUT046,1997,Small,Tier 1,Supermarket Type1,834.9132,41.74566,876.65886
FDQ32,17.85,Regular,0.046680961,Fruits and Vegetables,121.9388,OUT049,1999,Medium,Tier 1,Supermarket Type1,3962.8416,198.14208000000002,4160.98368
FDT37,14.15,Low Fat,0.03546967,Canned,256.3014,OUT017,2007,Medium,Tier 2,Supermarket Type1,4845.0266,242.25133000000002,5087.27793
NCO43,5.5,Low Fat,0.047290068,Others,100.5016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1416.8224,70.84112,1487.66352
